"participant","Current Residence","Age"
"Long Island, New York","Atlanta, Georgia","40"
"Queens, New York","Portland, Oregon","39"
"Tacoma, Washington","North Hollywood, California","27"
"New York, New York","New York, New York","29"
"Chico, California","Chicago, Illinois","32"
"Dearborn, Michigan","Los Angeles, California","28"
"Los Angeles, California","San Francisco, California","30"
"Washington, D.C.","Washington, D.C.","N/A"
"Brooklyn, New York","Brooklyn, New York","31"
"San Jose, California","San Jose, California","28"
"Howell, Michigan","White Lake, Michigan","29"
"Mexico City, Mexico","Los Angeles, California","33"
"Rosemount, Minnesota","Salt Lake City, Utah","35"
