participant,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Hosea,IN,LOW,WIN,IN,IN,WIN,IN,LOW,IN,HIGH,LOW,LOW,HIGH,WINNER
Carla,IN,HIGH,IN,IN,LOW,IN,LOW,WIN,LOW,WIN,HIGH,HIGH,WIN,RUNNER-UP
WIN,IN,WIN,IN,IN,HIGH,HIGH,WIN,WIN,LOW,WIN,LOW,LOW,RUNNER-UP,
Fabio,IN,WIN,WIN,HIGH,IN,IN,IN,IN,HIGH,LOW,HIGH,WIN,OUT,
IN,IN,LOW,HIGH,HIGH,HIGH,IN,IN,IN,OUT,OUT,,,,
Leah,HIGH,IN,WIN,IN,IN,IN,IN,LOW,IN,HIGH,LOW,OUT,,
Jamie,IN,HIGH,WIN,LOW,HIGH,LOW,WIN,WIN,IN,HIGH,OUT,,,
Radhika,IN,IN,WIN,IN,HIGH,HIGH,IN,IN,OUT,,,,,
Ariane,LOW,LOW,IN,WIN,WIN,IN,HIGH,OUT,,,,,,
Eugene,HIGH,IN,IN,IN,LOW,LOW,OUT,,,,,,,
IN,IN,WIN,LOW,IN,LOW,OUT,,,,,,,,
Daniel,IN,IN,LOW,IN,OUT,,,,,,,,,
Alex,IN,IN,IN,OUT,,,,,,,,,,
Richard,IN,IN,OUT,,,,,,,,,,,
Jill,IN,OUT,,,,,,,,,,,,
Patrick,OUT,,,,,,,,,,,,,
Lauren,OUT,,,,,,,,,,,,,
