"participant","12","2","3","4","5","6","7","8","9","10","11","12","13","14"
"Stephanie","WIN","LOW","WIN","HIGH","HIGH","HIGH","LOW","LOW","HIGH3","HIGH","WIN","WIN","HIGH","WINNER"
"Lisa","IN","HIGH","IN","HIGH","WIN","IN","LOW","LOW","LOW","LOW","LOW","LOW","LOW","RUNNER-UP"
"HIGH","IN","IN","WIN","LOW","IN","WIN","IN","WIN3","IN","HIGH","HIGH","WIN","RUNNER-UP",
"Antonia","HIGH","LOW","HIGH","LOW","LOW","HIGH","LOW","WIN","HIGH","IN","HIGH","HIGH","OUT",
"Spike","IN","LOW","IN","LOW","LOW","IN","HIGH","IN","LOW","LOW","LOW","OUT",,
"Dale","IN","LOW","IN","HIGH","HIGH","WIN","WIN","IN","LOW","WIN","OUT",,,
"Andrew","IN","WIN","IN","HIGH","LOW","IN","HIGH","HIGH","HIGH","OUT",,,,
"Nikki","HIGH","LOW","IN","IN","IN","LOW","IN","HIGH","OUT",,,,,
"Mark","LOW","HIGH","IN","IN","LOW","LOW","IN","OUT",,,,,,
"Jennifer","IN","HIGH","IN","IN","IN","IN","OUT",,,,,,,
"Ryan","LOW","IN","LOW","IN","IN","OUT",,,,,,,,
"Zoi","IN","HIGH","LOW","LOW","OUT",,,,,,,,,
"Manuel","IN","HIGH","IN","OUT",,,,,,,,,,
"Erik","LOW","IN","OUT",,,,,,,,,,,
"Valerie","IN","OUT",,,,,,,,,,,,
"Nimma","OUT",,,,,,,,,,,,,
