"participant","Current Residence","Age"
"Jonathan Baltazar","Long Beach, California","36"
"Molly Brandt","Hollywood, Florida","30"
"Chaz Brown","New York, New York","29"
"Kimberly Calichio","New York, New York","27"
"Andrew Curren","Austin, Texas","32"
"Berenice deAraujo","Miami, Florida","33"
"Janine Falvo","Atlanta, Georgia","37"
"Simon Pantet","Seattle, Washington","30"
"Colin Patterson","Seattle, Washington","37"
"Laurent Quenioux","Los Angeles, California","51"
"Tyler Stone","Sacramento, California","22"
"Nina Vicente","Seattle, Washington","29"
"Ashley Villaluz","Seattle, Washington","25"
