"participant","Age"
"West Caldwell, New Jersey","28"
"Fort Lauderdale, Florida","36"
"Los Angeles, California","44"
"Oakdale, California","32"
"New York, New York","24"
"Lodi, California","28"
"Brooklyn, New York","31"
"Las Vegas, Nevada","30"
"New York, New York","29"
"New York, New York","28"
"San Diego, California","39"
"Las Vegas, Nevada","26"
