"participant","Age","Hometown","Occupation","Status","Winnings"
"Shaun O'Neale","33","Las Vegas, Nevada","DJ","Winner September 14","7"
"Brandi Mudd","27","Irvington, Kentucky"," Teacher","Runners-Up September 14","9"
"David Williams","35","Las Vegas, Nevada","Professional Poker Player","6",
"Tanorria Askew","34","Chattanooga, Tennessee","Credit Union Coordinator","Eliminated September 7","4"
"Daniel ""Dan"" Paustian","26","Charlotte, North Carolina","Server","2",
"Katie Dixon","33","Hattiesburg, Mississippi","Fitness Trainer/Retail Associate","Eliminated August 31","4"
"Nathan Barnhouse","20","Slippery Rock, Pennsylvania","Tuxedo Salesman","3",
"Eric Howard","26","Queens, New York","Fireman","Eliminated August 24","2"
"Terence ""Terry"" Mueller","40","Long Island, New York","Handyman","4",
"Diamond Alexander","24","San Diego, California","Web Designer","Eliminated August 3","3"
"Andrea Galan","21","Miami, Florida","Student","Disqualified August 3","3"
"Alejandro Toro","26","Miami, Florida","Voice Over Artist","Eliminated July 27","2"
"D'Andre Balaoing","25","Las Vegas, Nevada","Bartender","Eliminated July 20","1"
"Diana Bilow","23","Plainfield, Illinois","Server","1",
"Emmanuel ""Manny"" Washington Jr.","29","Orlando, Florida","Fireman","Eliminated July 13","1"
"Lisa-Ann Marchesi","46","Gillette, New Jersey","Insurance Manager","Eliminated July 6","1"
"Brittany Craig","22","New Hartford, New York","Server","Eliminated June 29","0"
"Barbara Savage","51","Denver, Colorado","Investigator","Eliminated June 22","0"
"William ""Bill"" Travers","62","Pauma Valley, California","Retired","Eliminated June 15","0"
"Cassandra ""Cassie"" Peterson","25","Clear Lake, Iowa","Bakery Clerk","0",
