"participant","3","3","4","5","5","6","7","7","8","9","9","10","10","11","12","13","13","14","15","15","16","17","17","18","19","20"
"Claudia","IN","IMM","NPT","IN","IN","PT","IN","IN","PT","IN","IMM","HIGH","IN","WIN","WIN","IN","LOW","PT","IN","IN","WIN","WIN","IMM","PT","PT","WINNER"
"Derrick","IN","IN","NPT","IN","IN","PT","WIN","IMM","WIN","LOW","LOW","IN","IN","WIN","NPT","IN","IN","LOW","HIGH","WIN","PT","HIGH","LOW","WIN","WIN","RUNNER-UP"
"Stephen","IN","IN","WIN","IN","WIN","WIN","IN","IN","NPT","IN","IMM","IN","IN","PT","WIN","WIN","IMM","WIN","IN","WIN","WIN","HIGH","HIGH","WIN","ELIM",
"Nick","IN","IMM","WIN","IN","IN","WIN","HIGH","WIN","PT","LOW","PT","IN","IMM","WIN","PT","IN","IN","WIN","WIN","IMM","WIN","IN","WIN","ELIM",,
"Katrina","HIGH","IMM","PT","IN","IN","NPT","HIGH","IN","WIN","LOW","LOW","IN","WIN","WIN","WIN","HIGH","IN","WIN","IN","LOW","PT","IN","ELIM",,,
"Hetal","HIGH","IMM","PT","IN","IN","NPT","IN","LOW","WIN","IN","IMM","HIGH","WIN","PT","WIN","IN","WIN","LOW","HIGH","IN","ELIM",,,,,
"Tommy","IN","IMM","LOW","IN","IN","WIN","IN","IN","WIN","IN","IMM","WIN","IMM","WIN","LOW","HIGH","WIN","WIN","IN","ELIM",,,,,,
"Olivia","IN","LOW","PT","HIGH","IN","WIN","IN","WIN","WIN","LOW","IMM","IN","IN","NPT","PT","IN","IN","ELIM",,,,,,,,
"Shelly","IN","IMM","WIN","IN","WIN","NPT","IN","IN","LOW","LOW","IMM","IN","LOW","PT","WIN","IN","ELIM",,,,,,,,,
"Christopher","IN","WIN","WIN","IN","IN","LOW","IN","IN","WIN","IN","IMM","IN","IN","PT","ELIM",,,,,,,,,,,
"Sara","IN","IN","NPT","IN","IN","WIN","IN","IN","PT","IN","IMM","IN","ELIM",,,,,,,,,,,,,
"Kerry","IN","IMM","WIN","IN","IN","WIN","IN","IN","WIN","LOW","ELIM",,,,,,,,,,,,,,,
"Amanda","IN","IMM","WIN","HIGH","IN","WIN","IN","IN","ELIM",,,,,,,,,,,,,,,,,
"IN","IN","WIN","IN","LOW","WIN","IN","IN","ELIM",,,,,,,,,,,,,,,,,,
"Jesse","IN","IMM","WIN","WIN","IMM","WIN","IN","ELIM",,,,,,,,,,,,,,,,,,
"IN","IN","WIN","IN","LOW","NPT","IN","ELIM",,,,,,,,,,,,,,,,,,,
"Ailsa","IN","IMM","NPT","IN","IN","ELIM",,,,,,,,,,,,,,,,,,,,
"Dan","WIN","IMM","NPT","IN","IN","WDR",,,,,,,,,,,,,,,,,,,,
"Justin","IN","IMM","WIN","IN","ELIM",,,,,,,,,,,,,,,,,,,,,
"Darah","IN","IMM","ELIM",,,,,,,,,,,,,,,,,,,,,,,
"Brianna","IN","ELIM",,,,,,,,,,,,,,,,,,,,,,,,
"IN","ELIM",,,,,,,,,,,,,,,,,,,,,,,,,
