"participant","Age","Hometown","Occupation","Status","Winnings"
"Luca Manfè","31","Astoria, New York","Restaurant Manager","Winner September 11","10"
"Natasha Crnjac","26","San Diego, California","Stay-at-Home Mom","Runner-Up September 11","13"
"Jessica ""Jessie"" Lysiak","27","Social Circle, Georgia","Yacht Stewardess","Eliminated September 4","10"
"Krissi Biasiello","34","Philadelphia, Pennsylvania","Paralegal","Eliminated September 4","3"
"James Nelson","26","Victoria, Texas","Retail Sales","Eliminated August 28","5"
"Brianna ""Bri"" Kozior","22","Doylestown, Pennsylvania","Theater Assistant","Eliminated August 21","5"
"Jordan Roots","29","Minneapolis, Minnesota","Delivery Driver","Eliminated August 14","2"
"Eddie Jackson","32","Americus, Georgia","Personal Trainer/Former Pro Football Player","Eliminated July 31","7"
"Bethy Rossos","28","Estacada, Oregon","High School P.E. Teacher","Eliminated July 17","5"
"Savannah Sturges","27","San Diego, California","Middle School Special Ed. Teacher","Eliminated July 10","3"
"Lynn Chyi","27","San Diego, California","Systems Administrator","Eliminated July 10","4"
"Jonathan ""Jonny"" Blanchard","28","Marlboro, Massachusetts","Carpenter","Eliminated June 26","1"
"Elizabeth ""Beth"" Kirby","29","Chattanooga, Tennessee","Writer, Photographer","Eliminated June 26","3"
"Albaya ""Bime"" Cruz","35","Taunton, Massachusetts","Boxing Coach","Eliminated June 19","2"
"Howard Simpson","26","San Diego, California","Barback","Eliminated June 19","1"
"Kathleen ""Kathy"" Prieto","29","Bronx, New York","Office Assistant","Eliminated June 12","0"
"Malcolm Green","27","Cambridge, Massachusetts","Unemployed","Eliminated June 5","1"
"Adriana Guillen","26","New York, New York","College Admissions Rep.","Eliminated June 5","0"
"Sasha Foxx","42","Tuscaloosa, Alabama","Singer","Eliminated May 29","0"
