"participant","Age","Hometown","Occupation","Status","Winnings"
"Christine Hà","32","Houston, Texas","MFA Student","Winner September 10","8"
"Joshua ""Josh"" Marks","24","Jackson, Mississippi","Army Contract Specialist","Runner-Up September 10","4"
"Rebecca ""Becky"" Reams","27","Stilwell, Kansas","Food Photographer","Eliminated September 4","7"
"Franklin ""Frank"" Mirando","28","Holbrook, New York","Stockbroker","Eliminated August 28","6"
"Mairym ""Monti"" Carlo","36","Los Angeles, California","Homemaker","Eliminated August 21","5"
"David Martinez","32","Chicago, Illinois","Educational Administrator","Eliminated August 14","4"
"Felix Fang","24","Hollywood, California","Food runner","Eliminated July 24","4"
"Stacey Amagrande","29","Apple Valley, California","Market Manager","Eliminated July 17","4"
"Tali Clavijo","29","Chicago, Illinois","Musician","Eliminated July 9","1"
"Tanya Noble","21","Austin, Texas","Sociology Student","Eliminated July 3","2"
"Michael ""Mike"" Hill","40","Powder Springs, Georgia","Contractor","Eliminated July 3","2"
"Anna Rossi","28","Boston, Massachusetts","Pharmaceutical Sales Rep","Eliminated July 2","1"
"Scott Little","38","Annandale, Virginia","Interactive Producer","Eliminated June 26","1"
"Ryan Umane","26","New York, New York","Unemployed","Eliminated June 25","2"
"Helene Leeds","35","Baldwin, Maryland","Health Coach","Eliminated June 19","1"
"Michael Chen","19","Austin, Texas","Meteorology Student","Eliminated June 18","0"
"David ""Dave"" Mack","27","Davie, Florida","Caviar Sales Director","Eliminated June 12","0"
"Samantha De Silva","27","Miami, Florida","Design Consultant","Eliminated June 12","0"
