"participant","1","2","3","4","5","6","7","8","9"
"Mini","N/A","Eddie","Jeffrey","Michael","None","Jeffrey","Debbie","N/A","N/A"
"Melissa","HIGH","HIGH","IN","WIN","IN","IN","IN","IN","WINNER"
"Jeffrey","WIN","IN","WIN","LOW","IN","IN","WIN","IN","RUNNER-UP"
"Debbie","IN","HIGH","IN","HIGH","IN","LOW","IN","OUT",
"Jamika","IN","WIN","IN","LOW","LOW","IN","OUT",,
"Michael","HIGH","IN","WIN","HIGH","LOW","OUT",,,
"Katie","IN","LOW","IN","LOW","OUT",,,,
"Teddy","IN","IN","LOW","OUT",,,,,
"Eddie","LOW","LOW","OUT",,,,,,
"Brett","LOW","OUT",,,,,,,
"Jen","OUT",,,,,,,,
