participant,1,2,3,4,5,6,7,8,9,10
Sophie,FAVE,FAVE,NEXT,NEXT,SB,FAVE,FAVE,NEXT,SB,WINNER
Kate,NEXT,LOW,NEXT,SB,NEXT,NEXT,LOW,LOW,FAVE,Runner Up
Steven,SB,SB,FAVE,NEXT,NEXT,NEXT,SB,FAVE,LOW,Runner Up
Stacey,LOW,LOW,FAVE,NEXT,FAVE,LOW,LOW,SB,OUT,
Liam,NEXT,NEXT,LOW,FAVE,LOW,SB,FAVE,OUT,,
Yan,NEXT,NEXT,NEXT,NEXT,NEXT,FAVE,OUT,,,
Julia,NEXT,NEXT,SB,NEXT,LOW,OUT,,,,
James,NEXT,NEXT,NEXT,LOW,OUT,,,,,
Tom,NEXT,FAVE,NEXT,OUT,,,,,,
Flo,FAVE,LOW,OUT,,,,,,,
Chris,LOW,OUT,,,,,,,,
Peter,OUT,,,,,,,,,
