participant,1,2,3,4,5,6,7,8,9,10
Candice,LOW,SB,LOW,NEXT,SB,FAVE,NEXT,SB,FAVE,WINNER
Andrew,NEXT,FAVE,FAVE,FAVE,NEXT,LOW,SB,NEXT,SB,Runner Up
Jane,SB,NEXT,NEXT,NEXT,FAVE,NEXT,NEXT,FAVE,LOW,Runner Up
Selasi,FAVE,NEXT,NEXT,LOW,NEXT,FAVE,NEXT,NEXT,OUT,
Benjamina,FAVE,NEXT,NEXT,SB,NEXT,NEXT,FAVE,OUT,,
Tom,NEXT,NEXT,SB,LOW,LOW,SB,OUT,,,
Rav,NEXT,NEXT,NEXT,LOW,NEXT,OUT,,,,
Val,LOW,LOW,LOW,NEXT,OUT,,,,,
Kate,NEXT,NEXT,FAVE,OUT,,,,,,
Michael,NEXT,NEXT,OUT,,,,,,,
Louise,LOW,OUT,,,,,,,,
Lee,OUT,,,,,,,,,
