participant,1,2,3,4,5,6,7,8,9,10
Nancy,SB,NEXT,NEXT,NEXT,FAVE,FAVE,FAVE,LOW,LOW,WINNER
Luis,NEXT,FAVE,SB,FAVE,NEXT,FAVE,NEXT,FAVE,FAVE,Runner up
Richard,FAVE,SB,NEXT,SB,LOW,LOW,SB,SB,SB,Runner up
Chetna,FAVE,NEXT,NEXT,NEXT,NEXT,SB,NEXT,NEXT,OUT,
Martha,FAVE,NEXT,NEXT,NEXT,LOW,NEXT,LOW,OUT,,
Kate,NEXT,NEXT,FAVE,FAVE,SB,LOW,OUT,,,
Norman,NEXT,LOW,LOW,LOW,OUT,,,,,
Diana,NEXT,NEXT,NEXT,NEXT,LEFT,,,,,
Iain,LOW,NEXT,NEXT,OUT,,,,,,
Jordan,LOW,NEXT,OUT,,,,,,,
Enwezor,NEXT,OUT,,,,,,,,
Claire,OUT,,,,,,,,,
