"participant","Name","Age","Hometown","Outcome"
"Raja","Sutan Amrull","36","Los Angeles, California","Winner"
"Manila Luzon","Karl Westerberg","28","New York, New York","Runner-up"
"Alexis Mateo","Alexis Mateo Pacheco","30","St. Petersburg, Florida","3rd Place"
"Yara Sofia","Gabriel Burgos Ortiz","26","Manati, Puerto Rico","4th Place"
"Carmen Carrera","Christopher Roman ","25","Elmwood Park, New Jersey","5th Place"
"Shangela","D.J. Pierce","29","Los Angeles, California","6th Place"
"Delta Work","Gabriel Villarreal","34",", California","7th Place"
"Stacy Layne Matthews","Ron Jones","25","Back Swamp, North Carolina","8th Place"
"Mariah","Elijah Kelly","29","Atlanta, Georgia","9th Place"
"India Ferrah","Shane Richardson","23","Dayton, Ohio","10th Place"
"Mimi Imfurst","Braden Chapman","27","New York, New York","11th Place"
"Phoenix","Brian Trapp","29","Atlanta, Georgia","12th Place"
"Venus D-Lite","Adam Guerra","26","Los Angeles, California","13th Place"
