"participant","Name","Age","Hometown","Outcome"
"Sharon Needles","Aaron Coady","29","Pittsburgh, Pennsylvania","Winner"
"Chad Michaels","Chad Michaels","40","San Diego, California","Runner-up"
"Phi Phi O'Hara","Jaremi Carey","25","Chicago, Illinois",
"Latrice Royale","Timothy Wilcots","39","South Beach, Florida","4th Place"
"Kenya Michaels","Omar Olivera Bonilla","21","Dorado, Puerto Rico","5th Place"
"DiDa Ritz","Xavier Hairson","25","Chicago, Illinois","6th Place"
"Willam","Willam Belli","29","Los Angeles, California","7th Place"
"Jiggly Caliente","Paulo Arabejo","30","Queens, New York","8th Place"
"Milan","Dwayne Cooper ","36","New York, New York","9th Place"
"Madame LaQueer","Carlos Melendez","29","Carolina, Puerto Rico","10th Place"
"The Princess","Adam Biga","31","Chicago, Illinois","11th Place"
"Lashauwn Beyond","Jamall Jackson","21","Fort Lauderdale, Florida","12th Place"
"Alisa Summers","Alex Hernandez","23","Tampa, Florida","13th Place"
