"participant","Name","Age","Hometown","Outcome"
"Jinkx Monsoon","Jerick Hoffer","24","Seattle, Washington","Winner"
"Alaska","Justin Honard","27","Pittsburgh, Pennsylvania","Runner-up"
"Roxxxy Andrews","Michael Feliciano","28","Orlando, Florida",
"Detox","Matthew Sanderson","27","Los Angeles, California","4th Place"
"Coco Montrese","Martin Cooper","37","Las Vegas, Nevada","5th Place"
"Alyssa Edwards","Justin Johnson","32","Mesquite, Texas","6th Place"
"Ivy Winters","Dustin Winters","26","Greenville, Michigan","7th Place"
"Jade Jolie","Josh Green","25","Gainesville, Florida","8th Place"
"Lineysha Sparx","Andy Trinidad","24","San Juan, Puerto Rico","9th Place"
"Honey Mahogany","Alpha Mulugeta","29","San Francisco, California","10th/11th Place"
"Vivienne Pinay ","Michael Donehoo","26","New York, New York",
"Monica Beverly Hillz","Juan DeJesus Anaya","27","Owensboro, Kentucky","12th Place"
"Serena ChaCha","Myron Morgan","21","Tallahassee, Florida","13th Place"
"Penny Tration","Tony Cody","39","Cincinnati, Ohio","14th Place"
