"participant","Name","Age","Hometown","Outcome"
"Violet Chachki","Jason Dardo","22","Atlanta, Georgia","Winner"
"Ginger Minj","Joshua Eads Brown","29","Orlando, Florida","Runner-up"
"Pearl","Matthew James Lent","23","Brooklyn, New York",
"Kennedy Davenport","Reuben Asberry Jr.","33","Dallas, Texas","4th Place"
"Katya","Brian McCook","32","Boston, Massachusetts","5th Place"
"Trixie Mattel","Brian Firkus","24","Milwaukee, Wisconsin","6th Place"
"Miss Fame","Kurtis Dam-Mikkelsen","29","New York, New York","7th Place"
"Jaidynn Diore Fierce","Christopher Williams","25","Nashville, Tennessee","8th Place"
"Max","Max Malanaphy","22","Hudson, Wisconsin","9th Place"
"Kandy Ho","Frank Diaz","28","Cayey, Puerto Rico","10th Place"
"Mrs. Kasha Davis","Ed Popil","43","Rochester, New York","11th Place"
"Jasmine Masters","Martell Robinson","37","Los Angeles, California","12th Place"
"Sasha Belle","Jared Breakenridge","28","Iowa City, Iowa","13th Place"
"Tempest DuJour","Patrick Holt","46","Tucson, Arizona","14th Place"
