"participant","Name","Age","Hometown","Outcome"
"Bianca Del Rio","Roy Haylock","37","New York, New York","Winner"
"Adore Delano","Danny Noriega","23","Azusa, California","Runner-up"
"Courtney Act","Shane Jenek","31","West Hollywood, California",
"Darienne Lake","Gregory Meyer","41","Rochester, New York","4th Place"
"BenDeLaCreme","Benjamin Putnam","31","Seattle, Washington","5th Place"
"Joslyn Fox","Patrick Joslyn","26","Worcester, Massachusetts","6th Place"
"Trinity K. Bonet","Joshua Jones","22","Atlanta, Georgia","7th Place"
"Laganja Estranja","Jay Jackson","24","Van Nuys, California","8th Place"
"Milk","Dan Donigan","25","New York, New York","9th Place"
"Gia Gunn","Scotty Ichikawa","23","Chicago, Illinois","10th Place"
"April Carrión","Jason Carrión","24","Guaynabo, Puerto Rico","11th Place"
"Vivacious","Osmond Vacious","40","New York, New York","12th Place"
"Magnolia Crawford","Reynolds Engelhart","28","Seattle, Washington","13/14th Place"
"Kelly Mantle","Kelly Mantle","36","Los Angeles, California",
