participant,Age,Hometown,Outcome
Nea Marshall Kudi Ngwa,28,Minneapolis, Minnesota,Winner
Jorge Luis Flores Sanchez,34,Bayamón, Puerto Rico,Runner-up
Javier Rivera,26,Fort Lauderdale, Florida,3rd Place
Bryan Watkins,29,Las Vegas,4th Place
Ryan Ong Palao,26,Los Angeles,5th Place
David Sotomayor,25,Chicago,6th Place
Eric Flint,24,Cleveland,7th Place
Keith Glen Schubert,29,Long Beach,8th Place
Victor Bowling,39,Raleigh, North Carolina,9th Place
