"participant","Name","Age","Hometown","Outcome"
"BeBe Zahara Benet","Nea Marshall Kudi Ngwa","28","Minneapolis, Minnesota","Winner"
"Nina Flowers","Jorge Luis Flores Sanchez","34","Bayamón, Puerto Rico","Runner-up"
"Rebecca Glasscock","Javier Rivera","26","Fort Lauderdale, Florida","3rd Place"
"Shannel","Bryan Watkins","29",", ","4th Place"
"Ongina","Ryan Ong Palao","26",", ","5th Place"
"Jade","David Sotomayor","25",", ","6th Place"
"Akashia","Eric Flint","24",", ","7th Place"
"Tammie Brown","Keith Glen Schubert","29",", California","8th Place"
"Victoria ""Porkchop"" Parker","Victor Bowling","39","Raleigh, North Carolina","9th Place"
