"participant","Name","Age","Hometown","Outcome"
"Aquaria","Giovanni Palandrani","21",", ","Winner"
"Eureka","David Huggard","27",", ","Runner-up"
"Kameron Michaels","Dane Young","31",", Tennessee",
"Asia O'Hara","Antwan Lee","35",", ","4th Place"
"Miz Cracker","Maxwell Heller","33",", New York","5th Place"
"Monét X Change","Kevin Bertin","27",", New York","6th Place"
"The Vixen","Anthony Taylor","26",", ","7th Place"
"Monique Heart","Kevin Richardson","31",", ","8th Place"
"Blair St. Clair","Andrew Bryson","22",",","9th Place"
"Mayhem Miller","Dequan Johnson","35",", ","10th Place"
"Dusty Ray Bottoms","Dustin Rayburn","29","New York, New York","11th Place"
"Yuhua Hamasaki","Yuhua Ou","27","New York, New York","12th Place"
"Kalorie ","Daniel ","27",", ","13th Place"
"Vanessa Vanjie Mateo","Jose Cancel","25",", ","14th Place"
