participant,Age,Hometown,Outcome
Sutan Amrull,36,Los Angeles, California,Winner
Karl Westerberg,28,New York, New York,Runner-up
Alexis Mateo Pacheco,30,St. Petersburg, Florida,3rd Place
Gabriel Burgos Ortiz,26,Manati, Puerto Rico,4th Place
Christopher Roman ,25,,5th Place
D.J. Pierce,29,Los Angeles, California,6th Place
Gabriel Villarreal,34,Norwalk,7th Place
Ron Jones,25,Back Swamp, North Carolina,8th Place
Elijah Kelly,29,Atlanta, Georgia,9th Place
Shane Richardson,23,Dayton, Ohio,10th Place
Braden Chapman,27,New York, New York,11th Place
Brian Trapp,29,Atlanta, Georgia,12th Place
Adam Guerra,26,Los Angeles, California,13th Place
