"participant","Name","Age","Hometown","Outcome"
"Bob the Drag Queen","Christopher Caldwell","29","New York, New York","Winner"
"Kim Chi","Sang-Young Shin","27","Chicago, Illinois","Runner-up"
"Naomi Smalls","Davis Heppenstall","21","Redlands, California",
"Chi Chi DeVayne","Zavion Davenport","29","Shreveport, Louisiana","4th Place"
"Derrick Barry","Derrick Barry","32","Las Vegas, Nevada","5th Place"
"Thorgy Thor","Shane Galligan","31","Brooklyn, New York","6th Place"
"Robbie Turner","Jeremy Baird","33","Seattle, Washington","7th Place"
"Acid Betty","Jamin Ruhren","37","Brooklyn, New York","8th Place"
"Naysha Lopez","Fabian Rodriguez","31","Chicago, Illinois","9th Place"
"Cynthia Lee Fontaine","Carlos Diaz","34","Austin, Texas","10th Place"
"Dax ExclamationPoint","Dax Martin","31","Savannah, Georgia","11th/12th Place"
"Laila McQueen","Tyler Devlin","22","Gloucester, Massachusetts",
