participant,Age,Hometown,Outcome
Aaron Coady,29,Pittsburgh, Pennsylvania,Winner
Chad Michaels,40,San Diego, California,Runner-up
Jaremi Carey,25,Chicago, Illinois,
Timothy Wilcots,39,South Beach, Florida,4th Place
Omar Olivera Bonilla,21,Dorado, Puerto Rico,5th Place
Xavier Hairson,25,Chicago, Illinois,6th Place
Willam Belli,29,Los Angeles, California,7th Place
Paulo Arabejo,30,Queens, New York,8th Place
Dwayne Cooper ,36,New York, New York,9th Place
Carlos Melendez,29,Carolina, Puerto Rico,10th Place
Adam Biga,31,Chicago, Illinois,11th Place
Jamall Jackson,21,Fort Lauderdale, Florida,12th Place
Alex Hernandez,23,Tampa, Florida,13th Place
