"participant","Age","Occupation","Hometown"
"Sarah Baumert","27","Chef Instructor","Dallas, Texas"
"Randolph ""Randy"" Bell","45","Line Cook","Nashville, Tennessee"
"Nicholas ""Nick"" Peters Bond","25","Private Chef","Stoneham, Massachusetts"
"Monique Booker","23","Line Cook","Lynn, Massachusetts"
"Michael Dussault","38","Senior Center Chef","Hartford, Connecticut"
"Meghan Gill","28","Executive Chef","Roanoke, Virginia"
"Torrece ""T"" Gregoire","31","Line Cook","Atlanta, Georgia"
"Bret Hauser","30","Sous Chef","Delray Beach, Florida"
"Christine Hazel","30","Banquet Chef","Philadelphia, Pennsylvania"
"Michelle ""Mieka"" Houser Harris","25","Sous Chef","Olney, Maryland"
"Adam Livow","31","Amusement Park Chef","Freehold, New Jersey"
"Milton ""Milly"" Medley ","33","Executive Chef","Philadelphia, Pennsylvania"
"Brendan Pelley","34","Executive Chef","Bedford, Massachusetts"
"Alison Rivera","27","Sous Chef","Manhattan, New York"
"Chrissa Schmerler","34","Food Truck Chef/Owner","Bellmore, New York"
"Cameron Spagnolo","33","Banquet Chef","Jersey City, New Jersey"
"Michelle Tribble ","22","Line Cook","Dallas, Texas"
"Joshua ""Josh"" Trovato ","24","Chef De Cuisine","Brooklyn, New York"
