"participant","701","702","703","704","705","706","707","708","709","710","711","712","713","714","715"
"Holli","LOSE","LOSE","LOSE","WIN","LOSE","LOSE","LOSE","LOSE","LOSE","WIN","IN","IN","IN","IN","WINNER"
"Jay","WIN","LOSE","WIN","WIN","WIN","WIN","WIN","LOSE","LOSE","WIN","IN","IN","BoB","IN","RUNNER-UP"
"Benjamin","WIN","LOSE","WIN","WIN","WIN","WIN","LOSE","LOSE","LOSE","WIN","IN","NOM","NOM","OUT",
"Autumn","LOSE","NOM","LOSE","NOM","WIN","WIN","WIN","NOM","NOM","NOM","NOM","IN","NOM","OUT",
"Jason","WIN","NOM","WIN","WIN","WIN","WIN","WIN","LOSE","LOSE","WIN","IN","OUT",,,
"Ed","WIN","LOSE","WIN","WIN","WIN","WIN","WIN","NOM","LOSE","NOM","OUT",,,,
"Nilka","LOSE","LOSE","LOSE","BoB","NOM","LOSE","LOSE","LOSE","LOSE","OUT",,,,,
"Fran","NOM","LOSE","NOM","WIN","BoW","NOM","NOM","NOM","OUT",,,,,,
"Siobhan","LOSE","LOSE","LOSE","WIN","LOSE","NOM","NOM","OUT",,,,,,,
"Salvatore","WIN","LOSE","WIN","BoB","WIN","WIN","OUT",,,,,,,,
"Scott","WIN","LOSE","WIN","NOM","NOM","OUT",,,,,,,,,
"Maria","LOSE","LOSE","LOSE","WIN","OUT",,,,,,,,,,
"Jamie","LOSE","NOM","OUT",,,,,,,,,,,,
"Mikey","WIN","OUT",,,,,,,,,,,,,
"Andrew","WIN","LEFT",,,,,,,,,,,,,
"Stacey","OUT",,,,,,,,,,,,,,
