participant,1301,1302,1303,1304,1305,1306,1307,1308,1309,1310,1311,1312,1313,1314,1315,1316
Bryant,LOSE,LOSE,WIN,LOSE,WIN,LOSE,LOSE,WIN,WIN,NOM,LOSE,WIN,BoW,IN,IN,RUNNER-UP
Sade,WIN,LOSE,LOSE,WIN,LOSE,LOSE,LOSE,WIN,WIN,LOSE,LOSE,WIN,IN,IN,OUT,
Jennifer,WIN,LOSE,LOSE,WIN,LOSE,LOSE,LOSE,LOSE,LOSE,WIN,LOSE,WIN,IN,NOM,OUT,
Roe,WIN,LOSE,LOSE,WIN,LOSE,NOM,NOM,LOSE,LOSE,WIN,NOM,NOM,NOM,OUT,,
Santos,LOSE,LOSE,WIN,LOSE,WIN,LOSE,LOSE,WIN,WIN,LOSE,NOM,NOM,OUT,,,
Sterling,LOSE,NOM,WIN,LOSE,WIN,NOM,LOSE,NOM,LOSE,WIN,NOM,OUT,,,,
Fernando,LOSE,NOM,WIN,LOSE,WIN,LOSE,LOSE,WIN,WIN,LOSE,OUT,,,,,
Aaron,NOM,LOSE,WIN,LOSE,WIN,LOSE,NOM,WIN,WIN,LEFT,,,,,,
Frank,LOSE,LOSE,WIN,NOM,WIN,LOSE,LOSE,NOM,OUT,,,,,,,
Steve,LOSE,LOSE,WIN,NOM,WIN,NOM,NOM,WIN,LEFT,,,,,,,
Ashley,WIN,LOSE,LOSE,WIN,LOSE,LOSE,OUT,,,,,,,,,
Katie,WIN,LOSE,LOSE,WIN,NOM,OUT,,,,,,,,,,
Kalen,WIN,LOSE,NOM,WIN,OUT,,,,,,,,,,,
JR,LOSE,LOSE,WIN,OUT,,,,,,,,,,,,
Denine,WIN,NOM,OUT,,,,,,,,,,,,,
Janai,WIN,OUT,,,,,,,,,,,,,,
JP,OUT,,,,,,,,,,,,,,,
