"participant","Age (at time of filming)","Occupation","Hometown"
"Ariel Contreras-Fox","27","Sous Chef","Los Angeles, California"
"David Louis ""Louie"" Cordio","45","Diner Owner","Fitchburg, Massachusetts"
"Kevin Cottle","35","Executive Chef","Middletown, Connecticut"
"Antonio ""Tony"" D'Alessandro","30","Culinary Store Manager","Chicago, Illinois"
"Amanda Davenport","27","Sous Chef","New York, New York"
"Sabrina Gresset","34","Restaurant Manager","Phoenix, Arizona"
"Robert Hesse","30","Executive Chef","Quogue, New York"
"Vincent ""Van"" Hurd","26","Fish Cook","Dallas, Texas"
"Andrew ""Andy"" Husbands","30","Executive Chef","Boston, Massachusetts"
"Connie ""Lovely"" Jackson","23","Camp Chef","Chicago, Illinois"
"David ""Dave"" Levey","32","Executive Chef","San Diego, California"
"James ""Jim"" McGloin","34","Sous Chef","Nashua, New Hampshire"
"Melinda Meaney","38","Private Chef","Philadelphia, Pennsylvania"
"Tennille Middleton","28","Executive Chef","Fairfax, Virginia"
"Amanda ""Tek"" Moore","27","Line Cook","New York, New York"
"Suzanne Schlicht","24","Sous Chef","Milwaukee, Wisconsin"
"Joseph Tinnelly","27","Former ","Massapequa Park, New York"
