participant,901,902,903,904,905,906,907,908,909,910,911,912,913,914,915,916
Paul,LOSE,LOSE,WIN,LOSE,LOSE,NOM,LOSE,LOSE,WIN,LOSE,LOSE,WIN,IN,IN,IN,WINNER
Will,LOSE,LOSE,WIN,LOSE,LOSE,LOSE,LOSE,LOSE,WIN,LOSE,LOSE,WIN,IN,IN,IN,RUNNER-UP
Elise,WIN,WIN,LOSE,NOM,NOM,WIN,LOSE,WIN,NOM,LOSE,NOM,NOM,NOM,NOM,OUT,
Tommy,LOSE,LOSE,WIN,LOSE,NOM,LOSE,LOSE,LOSE,WIN,NOM,LOSE,WIN,IN,IN,OUT,
Jennifer,WIN,WIN,NOM,LOSE,LOSE,WIN,LOSE,WIN,LOSE,LOSE,LOSE,NOM,NOM,OUT,,
Elizabeth,WIN,WIN,LOSE,LOSE,LOSE,WIN,LOSE,WIN,LOSE,LOSE,LOSE,OUT,,,,
Natalie,WIN,WIN,WIN,LOSE,LOSE,LOSE,NOM,NOM,WIN,LOSE,OUT,,,,,
Carrie,WIN,WIN,NOM,NOM,LOSE,WIN,LOSE,WIN,NOM,OUT,,,,,,
Jamie,WIN,WIN,LOSE,LOSE,LOSE,WIN,NOM,WIN,OUT,,,,,,,
Jonathon,LOSE,LOSE,WIN,LOSE,LOSE,NOM,NOM,OUT,,,,,,,,
Krupa,WIN,WIN,LOSE,LOSE,NOM,WIN,OUT,,,,,,,,,
Monterray,NOM,LOSE,WIN,NOM,NOM,OUT,,,,,,,,,,
Gina,WIN,WIN,LOSE,LOSE,OUT,,,,,,,,,,,
Chino,NOM,NOM,WIN,OUT,,,,,,,,,,,,
Amanda,WIN,WIN,OUT,,,,,,,,,,,,,
Brendan,LOSE,OUT,,,,,,,,,,,,,,
Steven,OUT,,,,,,,,,,,,,,,
Jason,LEFT,,,,,,,,,,,,,,,
