"participant","Age","Occupation","Hometown"
"Michael ""Mike"" Aresta","38","Chef Instructor","Keyport, New Jersey"
"Rochelle Bergman","27","Catering Chef","Riverside, California"
"Scott Commings","36","Executive Chef","Woodstock, Illinois"
"Michael ""DeMarco"" DeMarco","29","Line Cook","Scranton, Pennsylvania"
"Christopher ""Chris"" Eversole","27","Line Cook","Las Vegas, Nevada"
"Melanie Finch","24","Line Cook","Woodland Hills, California"
"Cassandra ""Sandra"" Flores","36","Sous Chef","Queens, New York"
"Michael ""Gabriel"" Gabriel","26","Executive Chef","Spring, Texas"
"Simone Hammond","43","Buffet Cook","Henderson, Nevada"
"Ralph Johnson","28","Chef De Partie (Line Cook)","Boston, Massachusetts"
"Beverly ""Bev"" Lazo–Gonzalez","42","Food Truck Chef","Whittier, California"
"Richard Mancini","48","Executive Chef","Bloomingdale, Illinois"
"Gaurav Navin","34","Executive Chef","East Stroudsburg, Pennsylvania"
"Joy Parham–Thomas","25","Kitchen Supervisor","Philadelphia, Pennsylvania"
"Nicole Rutz","33","Baker","Morganville, New Jersey"
"Elizabeth ""Beth"" Taylor","43","Line Cook","Independence, Louisiana"
"Antonio ""Anton"" Testino","39","Head Chef","Butler, New Jersey"
"Jessica Vogel † ","29","Line Cook","Spring Lake, New Jersey"
"Jason Zepaltas","31","Sous Chef","Chicago, Illinois"
"Kashia Zollicoffer","23","Line Cook","Carthage, Mississippi"
