"participant","Age","Occupation","Hometown"
"Robyn Almodovar","31","Executive Sous Chef","Hollywood, Florida"
"Justin Antiorio","29","Sous Chef","Lyndhurst, New Jersey"
"Christopher ""Chris"" Carrero","33","Executive Chef","Queens, New York"
"Clemenza Caserta","41","Executive Chef","Long Island, New York"
"Patrick Cassata","40","Executive Chef","Lombard, Illinois"
"Dana Cohen","27","Chef Instructor","River Vale, New Jersey"
"Kimberly ""Kimmie"" Willis-Davenport","27","Personal Chef","Memphis, Tennessee"
"Roshni Gurnani","28","Executive Chef","Boston, Massachusetts"
"Tavon Hubbard","22","Executive Chef","Washington, D.C."
"Tiffany Johnson","30","Sous Chef","Warren, Vermont"
"Barbra ""Barbie"" Marshall","34","Catering Chef","Philadelphia, Pennsylvania"
"Brian Merel","31","Personal Chef","Chicago, Illinois"
"Danielle Rimmer","27","Saucier","Bayonne, New Jersey"
"Donald ""Don"" Savage","44","Cafeteria Chef","Houston, Texas"
"Briana Swanson","32","Personal Chef","New York, New York"
"Guy Vaknin","28","Executive Catering Chef","New York, New York"
"Royce Wagner","29","Sous Chef","Fort Lauderdale, Florida"
"Christina Wilson","32","Chef de Cuisine","Philadelphia, Pennsylvania"
