"participant","Age (at time of filming)","Occupation","Hometown"
"Coi Burruss","22","Cafe Chef","Austin, Texas"
"Ji-Hyun Cha","33","Private Caterer","Palisades Park, New Jersey"
"Colleen Cleek","41","Culinary Instructor","Papillion, Nebraska"
"Lacey D'Angelo","24","Corporate Buffet Cook","Charlotte, North Carolina"
"Paula DaSilva","28","Executive Sous Chef","Coconut Creek, Florida"
"Giovanni Filippone","37","Executive Chef","Destin, Florida"
"Andrea Heinly","30","Line Cook","Reading, Pennsylvania"
"Robert Hesse","29","Sous Chef","Quogue, New York"
"Wiliam ""Wil"" Kocol","26","Quality Control Chef","Elgin, Illinois"
"Seth Levine","27","Private Party Chef","New York, New York"
"Alicia ""LA"" Limtiaco","22","Line Cook","Las Vegas, Nevada"
"Jason ""J"" Maxwell","32","Food Court Chef","Clifton Park, New York"
"Charles ""Charlie"" McKay","24","Prep Chef","Las Vegas, Nevada"
"Carol Scott","30","Sous Chef","Knoxville, Tennessee"
"Daniel ""Danny"" Veltri","23","Executive Chef","Edgewater, Florida"
"Benjamin ""Ben"" Walanka","26","Executive Sous Chef","Chicago, Illinois"
