participant,101,102,103,104,105,106,107,108,109,110
Michael,WIN,WIN,WIN,WIN,BoW,WIN,IN,IN,IN,WINNER
Ralph,WIN,WIN,BoW,LOSE,WIN,NOM,BoB,IN,IN,RUNNER-UP
Jessica,WIN,WIN,LOSE,BoW,WIN,BoW,NOM,NOM,OUT,
Elsie,BoW,LOSE,WIN,WIN,NOM,WIN,IN,OUT,,
Jimmy,LOSE,LOSE,WIN,WIN,LOSE,WIN,OUT,,,
Andrew,WIN,WIN,NOM,NOM,WIN,OUT,,,,
Chris,LOSE,BoW,WIN,WIN,OUT,,,,,
Mary Ellen,WIN,WIN,LOSE,OUT,,,,,,
Wendy,WIN,WIN,OUT,,,,,,,
Jeff,LOSE,NOM,LEFT,,,,,,,
Dewberry,NOM,OUT,,,,,,,,
Carolann,OUT,,,,,,,,,
